ptype,floora_plan,year,occ,site_EUI,n_site_gas,n_site_elec,water_use
Multifamily,412503,1903,100,32,20472,3249755.2,22061
General Medical,567517,1950,100,352.7,1255514.1,18295844.6,9574
Multifamily,321464,1939,100,76.2,8906.3,1121931.8,5915.6
Multifamily,54913,1911,100,17.9,601,262377.2,231.9
Multifamily,535632,1964,100,115.9,631631.4,1620,8984.2
Education,199058.1,1971,100,26.9,1,1570079.7,1009.9
Multifamily,175885,1973,100,56.2,39028.3,1887619.4,237.9
Office,83131,1996,100,0,0,0,975.6
Multifamily,42352,1908,100,6.1,1468.2,28872,1668.9
Multifamily,49668,1924,100,7.5,3368,10178,1976.2
Office,226310,2004,100,391.6,588003.2,14272721.7,44067.7
Office,107015,1998,100,408.9,291161.4,9782294.3,10740.5
Office,44908,1995,100,545,230585.5,4042256.4,8565.9
Office,498466,1929,100,430.8,14508.8,36830618.2,29331.1
Office,246237,1976,100,555.8,276,14764157.1,71526.5
Office,117368,1929,100,108.6,54480.3,1195236.2,10175
Office,52850,1970,100,85.6,523.1,825719.4,1753.4
Education,953183,1905,100,92.4,30362.3,10630818.5,28781.5
Multifamily,66687,1952,100,53.8,23357.4,466109.6,3048.6
Education,628399,1964,100,121.7,6829.7,8499541.8,24914.9
Multifamily,298336,1981,100,8.1,4405.8,585304.9,11291.1
Education,158590,1966,100,9915.6,14958784.2,6979199.6,27410.9
Education,168566,2001,100,10.1,539,485599.9,2032.1
Education,151070,1929,100,3.9,6387.1,0,1943.6
General Medical,198896,1893,100,317.6,156023,5814469.3,1916545.9
General Medical,138068,1969,100,388.3,149851.5,5562886.3,13224.2
Multifamily,40000,1925,100,164.9,63.3,1146228,1460.7
Multifamily,54100,1939,100,2.6,302,32688,7874.7
Multifamily,88332,1910,100,145,134783.5,188516.6,11388.6
Multifamily,87260,1964,100,100.8,85080,85080,6990.5
Multifamily,89091,1967,100,17.2,11775,105215.1,2659.3
Multifamily,50292,1910,100,5.5,399,69088,4099.9
Multifamily,62334,1980,100,78.9,46690,72248.9,3275.7
Multifamily,288790,1915,95,213.4,465067.4,4839226,21137
