property type,sqft,Year Built,Occupancy,ENERGY STAR Score,Site EUI (kBtu/ft²),Oil kBtu,Diesel kBtu,Steam kBtu,gas kBtu,Total CO2 tons,Water kgal
Office,293447,1963,100,0,305.6,0,0,51550675.1,0,6962.2,0
Hospital,3889181,1969,100,55,229.8,39249694.4,0,-391414802.6,933073441,55870.4,0
Hospital,2971874,1932,100,55,359.9,40166430.8,0,-469079690.9,1432250877,54429.8,0
Multifamily Housing,2400000,1974,100,0,143974.4,27473405.6,0,0,3.94E+11,20943400,107151.5
Other,200,1974,100,0,1138.3,0,0,0,0,21.1,19261.1
Multifamily Housing,412503,1903,100,93,32,0,0,0,2047200,1194,22061
Multifamily Housing,162656,1903,100,1,295.4,0,0,0,47522901.2,2846.8,0
Hospital,567517,1950,100,80,352.7,18460608.2,0,0,128486713.1,13302.6,9574
College/University,323000,1907,100,0,120,2769880.8,0,0,52441239.4,4554.7,0
Multifamily Housing,321464,1939,100,72,76.2,19635407.7,0,0,880200,1893.4,5915.6
Multifamily Housing,204720,1939,100,67,75.7,12047890.1,0,0,553439.4,1204.4,0
Multifamily Housing,116744,1939,100,80,77.1,7587517.6,0,0,326760.6,689,0
Multifamily Housing,189766,1911,100,100,68,224277.6,0,0,8786386.9,847.5,0
Multifamily Housing,130629,1911,100,100,23.7,0,0,0,0,286.8,0
Multifamily Housing,54913,1911,100,100,17.9,0,0,0,59412.9,88.8,231.9
Residence Hall/Dormitory,535632,1964,100,0,115.9,450000,0,0,61638997.2,3308.4,8984.2
College/University,199058.1,1971,100,0,26.9,0,0,0,100,497.1,1009.9
Multifamily Housing,175885,1973,100,40,56.2,0,0,0,3826349.7,765.3,237.9
Multifamily Housing,152308,1952,100,67,49.5,0,0,0,3634699.8,555.1,0
Multifamily Housing,228570,1952,100,99,25.5,0,0,0,1919800,464,0
Multifamily Housing,152380,1952,100,12,65.3,0,0,0,3422100,787.9,0
Multifamily Housing,304760,1952,100,88,43.7,0,0,0,7268300.3,948.1,0
College/University,6386382,1897,100,0,175.9,0,0,0,770027489,73694.9,0
Residence Hall/Dormitory,54138,1950,100,100,0.5,0,0,0,28000,1.5,0
Residence Hall/Dormitory,48608,1898,100,99,16,0,0,0,27900,71.1,0
Multifamily Housing,42352,1908,100,100,6.1,0,0,0,157800,17.5,1668.9
Residence Hall/Dormitory,42128,1908,100,100,6.8,0,0,0,115700,22.2,0
Residence Hall/Dormitory,72109,1898,100,89,30.4,0,0,0,85200,200,0
Residence Hall/Dormitory,140056,1924,100,86,34.2,0,0,0,0,444.3,0
Office,249978,1961,100,73,73.4,0,0,0,0,1701.7,0
Office,423521,1910,100,71,69.9,0,0,0,0,2747.6,0
Office,204069,1988,100,1,4377.4,0,0,0,768452989,52401,0
College/University,287737,1950,100,0,0.3,0,0,0,87900,4.7,0
Multifamily Housing,53440,1909,100,100,0.1,0,0,0,5800,0.3,517.4
Residence Hall/Dormitory,74328,1920,100,100,1.1,0,0,0,71800,4.7,0
Residence Hall/Dormitory,50120,1924,100,100,0.1,0,0,0,0,0.5,0
Residence Hall/Dormitory,49668,1924,100,100,7.5,0,0,0,336800,21.1,1976.2
Residence Hall/Dormitory,57903,1932,100,100,11.4,0,0,0,657600,34.9,0
College/University,2904696,1914,100,0,111.5,0,0,0,82040481.3,26806.5,0
Office,226310,2004,100,1,391.6,3479587,0,0,56815600.4,7725.9,44067.7
Office,107015,1998,100,0,408.9,1126080.2,0,0,28158200.8,4677,10740.5
Office,44908,1995,100,0,545,552000,0,0,23746399.9,2578.1,8565.9
Office,498466,1929,100,0,430.8,0,0,179060383.7,1450881,23865.2,29331.1
Office,56959,1914,100,74,108.3,0,0,8623916.3,0,754,0
Office,242390,1928,100,19,259.5,0,0,50536752.4,0,4829.9,3005.7
Office,246237,1976,100,1,555.8,0,0,130142906.7,27600,13317.6,71526.5
Office,117368,1929,100,84,108.6,18689373.2,0,0,5448026.1,1367.8,10175
Office,138403,1973,100,78,105.8,28775680.4,0,0,6498553,2113.7,0
Office,285890,1973,100,78,124.5,51420459.2,0,0,23052893.3,4172.5,0
Office,52850,1970,100,81,85.6,8577721.2,0,0,49786,589.9,1753.4
College/University,953183,1905,100,0,92.4,0,0,48796424.2,2679329,6780.5,28781.5
Residence Hall/Dormitory,66687,1952,100,84,53.8,0,0,0,1996358.1,253.6,3048.6
College/University,128572,1905,100,0,62.2,0,0,1974482.8,0,690.5,818
College/University,628399,1964,100,0,121.7,0,0,46821941.5,682970.9,5836.4,24914.9
Urgent Care/Clinic/Other Outpatient,105518,2009,100,0,250.1,0,0,27482613.9,0,4805.1,12902.4
Medical Office,30840,2003,100,6,147.9,0,0,3001888.9,0,747.8,0
Laboratory,327993,1987,100,0,399.3,0,0,65447011.9,0,10427,0
Laboratory,701010,2006,100,0,475.5,0,0,184977113.4,21533.3,27941.3,0
Multifamily Housing,454925,1966,100,100,5.4,0,0,0,939000,192.5,0
Residence Hall/Dormitory,298336,1981,100,100,8.1,0,0,0,422989.9,207.8,11291.1
Multifamily Housing,306659,1959,100,100,16.1,0,0,0,550200,437.5,0
Multifamily Housing,322355,1960,100,100,15.3,0,0,0,563900,434.2,0
Multifamily Housing,322571,1960,100,100,18.2,0,0,0,571800,520.9,0
College/University,89951,1896,100,0,19.6,0,0,0,0,164,0
College/University,158590,1966,100,0,9915.6,105636793.4,0,0,1495878417,85582.7,27410.9
Social/Meeting Hall,247639,2001,100,0,30.6,0,0,0,1555140,641.1,0
Social/Meeting Hall,91100,2012,100,0,1.1,0,0,0,29500,8.4,0
Residence Hall/Dormitory,144268,1986,100,100,4.5,0,0,0,645900,34.3,0
College/University,61310,1895,100,0,52.9,0,0,0,0,301.2,0
College/University,168566,2001,100,0,10.1,0,0,0,53900,156.6,2032.1
Residence Hall/Dormitory,76964,1894,100,100,5.4,0,0,0,103300,34.2,0
College/University,103680,1893,100,0,56.5,0,0,0,0,543.8,943.3
College/University,151070,1929,100,0,3.9,0,0,0,591400,31.4,1943.6
College/University,128679,1894,100,0,29.9,0,0,0,0,356.5,462.9
College/University,73913,1891,100,0,35,0,0,0,0,239.9,0
College/University,258155,1895,100,0,11.7,0,0,0,0,279.3,0
College/University,90870,2011,100,0,4.8,0,0,0,6300,40.1,0
College/University,262739,1896,100,0,1.5,0,0,0,0,37.5,0
College/University,97711,1896,100,0,19.4,0,0,0,0,176.2,0
Residence Hall/Dormitory,169984,1962,100,100,12.3,0,0,0,2574200,136.7,0
College/University,69021,1896,100,0,78.5,0,0,0,0,502.7,2538.1
Residence Hall/Dormitory,182714,1929,100,100,19.3,0,0,0,887700,292.1,0
Multifamily Housing,119090,1928,100,0,16,2473622.6,0,0,118350,151.1,0
Multifamily Housing,305587,1960,100,1,184.3,0,0,0,51080100.2,3199.4,0
Hospital,198896,1893,100,19,317.6,0,0,25032304.8,17800699.6,4493.9,1916545.9
