bname,build_year,floor_area,occupy,water_use,ws_ngas,ws_elec,site_eui
Multifamily,1903,412503,100,22061,0,3249755.2,32
General Medical,1950,567517,100,9574,2.2,18295844.6,352.7
Multifamily,1939,321464,100,5915.6,0,1121931.8,76.2
Multifamily,1911,54913,100,231.9,0,262377.2,17.9
Multifamily,1964,535632,100,8984.2,1.2,1620,115.9
Education,1971,199058.1,100,1009.9,0,1570079.7,26.9
Multifamily,1973,175885,100,237.9,0.2,1887619.4,56.2
Office,1996,83131,100,975.6,0,0,0
Multifamily,1908,42352,100,1668.9,0,28872,6.1
Multifamily,1924,49668,100,1976.2,0.1,10178,7.5
Office,2004,226310,100,44067.7,2.1,14272721.7,391.6
Office,1998,107015,100,10740.5,1.9,9782294.3,408.9
Office,1995,44908,100,8565.9,3.3,4042256.4,545
Office,1929,498466,100,29331.1,0,36830618.2,430.8
Office,1976,246237,100,71526.5,0,14764157.1,555.8
Office,1929,117368,100,10175,0.3,1195236.2,108.6
Office,1970,52850,100,1753.4,0,825719.4,85.6
Education,1905,953183,100,28781.5,0,10630818.5,92.4
Multifamily,1952,66687,100,3048.6,0.4,466109.6,53.8
Education,1964,628399,100,24914.9,0,8499541.8,121.7
Multifamily,1981,298336,100,11291.1,0,585304.9,8.1
Education,1966,158590,100,27410.9,94.3,6979199.6,9915.6
Education,2001,168566,100,2032.1,0,485599.9,10.1
Education,1929,151070,100,1943.6,0,0,3.9
General Medical,1893,198896,100,1916545.9,0.8,5814469.3,317.6
General Medical,1969,138068,100,13224.2,1.1,5562886.3,388.3
Multifamily,1925,40000,100,1460.7,0,1146228,164.9
Multifamily,1939,54100,100,7874.7,0,32688,2.6
Multifamily,1910,88332,100,11388.6,1.5,188516.6,145
Multifamily,1964,87260,100,6990.5,1,85080,100.8
Multifamily,1967,89091,100,2659.3,0.1,105215.1,17.2
Multifamily,1910,50292,100,4099.9,0,69088,5.5
Multifamily,1980,62334,100,3275.7,0.7,72248.9,78.9
Multifamily,1915,288790,95,21137,1.6,4839226,213.4
General Medical,1987,480751,100,2785375.2,1.2,14133645.3,218.7
Office,1978,89506,100,3236.1,0.4,974686.9,76.4
General Medical,1987,259635,100,2544573.5,2.1,13102239.3,383
Multifamily,1953,735000,100,45976.8,0.1,5695967.6,35.5
Multifamily,1955,665000,100,33742.7,0,4794817.7,27.9
Multifamily,1954,350000,100,22515.1,0,2438522.1,27.4
Multifamily,1951,124200,100,6244.6,0.7,673642.8,81
Multifamily,1951,149406,100,9798.7,0.8,966750.1,92.2
Multifamily,1951,103032,100,7275.5,0.7,489124.6,83.9
Multifamily,1953,151492,100,8674.7,1.1,907007.5,116.9
Multifamily,1953,146484,100,1163027.2,1,917509.1,113.3
Multifamily,1953,255704,100,12211.8,1.1,1453607.8,120.3
Multifamily,1953,183912,100,11235.4,1.1,1088595.4,117.4
Multifamily,1939,159090,100,5592.4,0.6,1003615.5,74.5
Multifamily,1939,69545,100,5592.4,0.5,577813.9,73.9
Retail,1994,64296,75,59254.7,0,951504.9,50.7
Retail,1994,64296,75,27280,0,545521.9,29
Office,1947,69000,100,1896.1,0,2564943.5,95.3
Multifamily,1914,69094,100,2419.8,0,224405.4,69.9
Multifamily,1953,110400,95,2994.9,0.6,389563.5,66.5
Multifamily,1961,660960,95,183250.3,0.1,1246518.1,15
Education,1887,900000,100,19048.4,0.6,8122156,89.5
Retail,2005,20000,100,18.3,0.4,294080,89.4
Multifamily,1965,266000,100,12679.5,0.8,1373199.8,86.2
