ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,412503,1903,100,93,32,2047200,22061
Hospital (General Medical & Surgical),567517,1950,100,80,352.7,128486713.1,9574
Multifamily Housing,321464,1939,100,72,76.2,880200,5915.6
Multifamily Housing,54913,1911,100,100,17.9,59412.9,231.9
Multifamily Housing,175885,1973,100,40,56.2,3826349.7,237.9
Office,83131,1996,100,100,0,0,975.6
Multifamily Housing,42352,1908,100,100,6.1,157800,1668.9
Multifamily Housing,53440,1909,100,100,0.1,5800,517.4
Residence Hall/Dormitory,49668,1924,100,100,7.5,336800,1976.2
Office,226310,2004,100,1,391.6,56815600.4,44067.7
Office,246237,1976,100,1,555.8,27600,71526.5
Office,117368,1929,100,84,108.6,5448026.1,10175
Office,52850,1970,100,81,85.6,49786,1753.4
Residence Hall/Dormitory,66687,1952,100,84,53.8,1996358.1,3048.6
Residence Hall/Dormitory,298336,1981,100,100,8.1,422989.9,11291.1
Hospital (General Medical & Surgical),198896,1893,100,19,317.6,17800699.6,1916545.9
Hospital (General Medical & Surgical),138068,1969,100,3,388.3,16879700.7,13224.2
Residence Hall/Dormitory,40000,1925,100,23,164.9,6037,1460.7
Multifamily Housing,54100,1939,100,100,2.6,30200,7874.7
Residence Hall/Dormitory,88332,1910,100,61,145,12136000.3,11388.6
Multifamily Housing,87260,1964,100,58,100.8,8507999.8,6990.5
Multifamily Housing,89091,1967,100,100,17.2,1177500,2659.3
Multifamily Housing,50292,1910,100,100,5.5,39900,4099.9
Multifamily Housing,62334,1980,100,85,78.9,4668999.9,3275.7
Senior Care Community,288790,1915,95,66,213.4,43744973.5,21137
Multifamily Housing,1385656,1965,100,3,175.4,243056197.6,163058.3
Multifamily Housing,1989288,1965,100,2,181.6,361225620.2,82766
Hospital (General Medical & Surgical),480751,1987,100,51,218.7,56905321.8,2785375.2
Office,89506,1978,100,80,76.4,3516912.5,3236.1
Hospital (General Medical & Surgical),131610,1990,100,100,11.2,1475294.7,237581.3
Hospital (General Medical & Surgical),259635,1987,100,6,383,54524832.5,2544573.5
Multifamily Housing,735000,1953,100,96,35.5,5623182.4,45976.8
Multifamily Housing,70000,1953,100,36,154.5,10817395,6466.9
Multifamily Housing,70000,1953,100,69,130,9098339.9,5053.8
Multifamily Housing,665000,1955,100,99,27.9,1295562.5,33742.7
