ptype,floor_area,build_year,occupy,star,site_eui,ngas,water_use
Multifamily Housing,412503.0,1903,100,93.0,32.0,2047200.0,22061.0
Hospital (General Medical & Surgical),567517.0,1950,100,80.0,352.7,128486713.1,9574.0
Multifamily Housing,321464.0,1939,100,72.0,76.2,880200.0,5915.6
Multifamily Housing,54913.0,1911,100,100.0,17.9,59412.9,231.9
Multifamily Housing,175885.0,1973,100,40.0,56.2,3826349.7,237.9
Office,83131.0,1996,100,100.0,0.0,0.0,975.6
Multifamily Housing,42352.0,1908,100,100.0,6.1,157800.0,1668.9
Multifamily Housing,53440.0,1909,100,100.0,0.1,5800.0,517.4
Residence Hall/Dormitory,49668.0,1924,100,100.0,7.5,336800.0,1976.2
Office,226310.0,2004,100,1.0,391.6,56815600.4,44067.7
Office,246237.0,1976,100,1.0,555.8,27600.0,71526.5
Office,117368.0,1929,100,84.0,108.6,5448026.1,10175.0
Office,52850.0,1970,100,81.0,85.6,49786.0,1753.4
Residence Hall/Dormitory,66687.0,1952,100,84.0,53.8,1996358.1,3048.6
Residence Hall/Dormitory,298336.0,1981,100,100.0,8.1,422989.9,11291.1
Hospital (General Medical & Surgical),198896.0,1893,100,19.0,317.6,17800699.6,1916545.9
Hospital (General Medical & Surgical),138068.0,1969,100,3.0,388.3,16879700.7,13224.2
Residence Hall/Dormitory,40000.0,1925,100,23.0,164.9,6037.0,1460.7
Multifamily Housing,54100.0,1939,100,100.0,2.6,30200.0,7874.7
Residence Hall/Dormitory,88332.0,1910,100,61.0,145.0,12136000.3,11388.6
Multifamily Housing,87260.0,1964,100,58.0,100.8,8507999.8,6990.5
Multifamily Housing,89091.0,1967,100,100.0,17.2,1177500.0,2659.3
Multifamily Housing,50292.0,1910,100,100.0,5.5,39900.0,4099.9
Multifamily Housing,62334.0,1980,100,85.0,78.9,4668999.9,3275.7
Senior Care Community,288790.0,1915,95,66.0,213.4,43744973.5,21137.0
Multifamily Housing,1385656.0,1965,100,3.0,175.4,243056197.6,163058.3
Multifamily Housing,1989288.0,1965,100,2.0,181.6,361225620.2,82766.0
Hospital (General Medical & Surgical),480751.0,1987,100,51.0,218.7,56905321.8,2785375.2
Office,89506.0,1978,100,80.0,76.4,3516912.5,3236.1
Hospital (General Medical & Surgical),131610.0,1990,100,100.0,11.2,1475294.7,237581.3
Hospital (General Medical & Surgical),259635.0,1987,100,6.0,383.0,54524832.5,2544573.5
Multifamily Housing,735000.0,1953,100,96.0,35.5,5623182.4,45976.8
